,Ticker,Performance
0,A,-0.033920900607317526
1,A,0.2805668626564149
2,A,0.42025014889815365
3,A,0.2644468673991444
4,AA,-0.35259384226064955
5,AA,-0.5231270358306188
6,AA,0.4653341661461586
7,AA,1.660480349344978
8,AAL,-0.3267898383371825
9,AAL,-0.28335664335664335
10,AAL,-0.38176144244105414
11,AAL,0.04804974561899366
12,AAMC,-0.45776805251641134
13,AAMC,-0.4759259259259259
14,AAMC,0.2402826855123675
15,AAN,0.08137865007180466
16,AAOI,-0.45992020311933257
17,AAOI,-0.3894173602853746
18,AAOI,0.06368715083798886
19,AAOI,-0.673557278208441
20,AAON,0.16016830294530157
21,AAON,0.3717073170731708
22,AAON,0.4767264402899655
23,AAON,-0.25304325304325304
24,AAP,0.42108413132694955
25,AAP,-0.1672453363149533
26,AAP,0.06486003163903988
27,AAP,0.31956640222854726
28,AAPL,0.17425287356321836
29,AAPL,0.2580266249021145
30,AAPL,0.79679663484873
31,AAPL,0.3415271024671349
32,AAT,0.24458747805734346
33,AAT,0.06447938026885391
34,AAT,-0.3447453954496208
35,AAT,0.1752645502645503
36,AAWW,0.027758620689655164
37,AAWW,-0.5174459176552687
38,AAWW,1.1311627906976744
39,AAWW,0.3301756803306924
40,ABBV,-0.3013972055888224
41,ABBV,0.07549288744696778
42,ABBV,0.11387824606215415
43,ABBV,0.3296620540337004
44,ABC,0.1373506360015418
45,ABC,-0.02898389783453636
46,ABC,0.20623501199040772
47,ABC,0.22250365319045287
48,ABCL,-0.819245283018868
49,ABEO,-0.584423676012461
50,ABEO,-0.6101949025487257
51,ABEO,0.4591194968553459
52,ABEO,-0.8384978452698544
53,ABG,0.029538904899135403
54,ABG,0.22083916083916091
55,ABG,0.9457817772778401
56,ABG,0.056006544584985246
57,ABIO,-0.36731107205623903
58,ABIO,-0.5891203703703705
59,ABIO,-0.058608058608058664
60,ABIO,-0.42542787286063566
61,ABM,-0.224585062240664
62,ABM,0.24484536082474231
63,ABM,0.0012804097311140657
64,ABM,0.05541237113402077
65,ABMD,-0.33621929979554227
66,ABMD,-0.24846299810246678
67,ABMD,0.4059003051881993
68,ABNB,-0.2041116751269036
69,ABR,0.23436196830692246
70,ABR,-0.03445990722332668
71,ABR,0.1229773462783173
72,ABT,0.26446837146702556
73,ABT,0.13404114134041153
74,ABT,0.39652430713312126
75,ABT,-0.06954091816367261
76,ABTL,0.33333333333333326
77,ABTL,-0.45700245700245706
78,ABTL,1.445454545454545
79,ABTL,-0.25547445255474455
80,ABUS,-0.2704761904761905
81,ABUS,-0.19154228855721384
82,ABUS,0.06312292358804
83,ABUS,-0.1792717086834733
84,AC,0.18181818181818193
85,AC,-0.10282485875706208
86,AC,0.06128938999710891
87,AC,0.13231197771587744
88,ACA,0.517968210089841
89,ACA,0.4440203562340968
90,ACA,-0.22968750000000004
91,ACAD,-0.2838468720821662
92,ACAD,0.71664493698392
93,ACAD,0.19848101265822793
94,ACAD,-0.4704907848415821
95,ACAN,0.07305936073059367
96,ACAN,-0.6872037914691942
97,ACAN,0.4
98,ACAN,-0.5490196078431373
99,ACC,-0.11721840516343957
100,ACC,0.2967617206379892
101,ACCO,-0.2973384030418251
102,ACCO,-0.14239828693790152
103,ACCO,0.0424469413233458
104,ACCO,0.028742514970059908
105,ACER,0.3033333333333334
106,ACER,-0.8486786018755328
107,ACER,0.31970260223048325
108,ACER,-0.23839009287925697
109,ACET,-0.4796352583586626
110,ACET,-0.8952483801295896
111,ACET,0.9801980198019801
112,ACET,-0.04928571428571425
113,ACET_delis,-0.8338762214983714
114,ACHC,-0.29031420410283043
115,ACHC,0.13002274450341167
116,ACHC,0.7191528545119705
117,ACHC,0.06265473243191771
118,ACI,0.7211221122112211
119,ACIA,0.12821106225410783
120,ACIA,0.4627501064282674
121,ACIW,0.24668008048289733
122,ACIW,-0.12783121315544518
123,ACIW,0.36787378988884895
124,ACIW,-0.16416070988415093
125,ACLS,-0.23377609108159392
126,ACLS,0.14946619217081838
127,ACLS,0.6363261943986819
128,ACLS,0.8699648553663152
129,ACM,-0.1028409090909092
130,ACM,0.3811673653660108
131,ACM,0.1006303992528602
132,ACM,0.4525999999999999
133,ACN,0.08984319819183499
134,ACN,0.17216697282574273
135,ACN,0.18767460969597363
136,ACN,0.493993993993994
137,ACRE,0.2069236821400471
138,ACRE,0.23286713286713273
139,ACRE,-0.20116959064327491
140,ACRE,0.08234421364985159
141,ACRX,0.5142857142857143
142,ACRX,-0.6086956521739131
143,ACRX,-0.09629629629629635
144,ACRX,-0.8617777777777778
145,ACU,-0.2977667493796526
146,ACU,0.0273646638905414
147,ACU,0.9985721085197524
148,ACU,-0.1346153846153846
149,ADBE,0.25258048032703123
150,ADBE,0.39205681864565906
151,ADBE,0.33594133441117885
152,ADBE,0.10354594594594592
153,ADC,0.43658859920459564
154,ADC,0.24227286918513885
155,ADC,-0.16306047966631915
156,ADC,-0.009348706762231356
157,ADES,0.05116279069767449
158,ADES,-0.4858407079646018
159,ADES,-0.056105610561056084
160,ADES,-0.019264448336252245
161,ADI,-0.01071309005691322
162,ADI,0.2978985021238543
163,ADI,0.2576873503958756
164,ADI,0.3178153823807102
165,ADIL,-0.6265356265356266
166,ADIL,1.0719999999999998
167,ADIL,-0.2123552123552123
168,ADM,0.01592039800995026
169,ADM,0.12585700293829563
170,ADM,0.07546759460635072
171,ADM,0.37515728923242847
172,ADMA,-0.2841880341880341
173,ADMA,-0.5351758793969849
174,ADMA,-0.10416666666666667
175,ADMA,-0.24
176,ADNT,-0.4927801504982713
