,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
10357,THO,116.58,2021-09-28,278742896.58,THO,,,
10358,THRM,31.85,2018-02-23,7204533.7,THRM,42.86,2019-02-25,8985856.16
10359,THRM,42.38,2019-02-26,9752443.22,THRM,45.35,2020-02-26,5027047.5
10360,THRM,49.19,2020-02-20,9585802.87,THRM,70.16,2021-02-19,19897726.8
10361,THRM,74.37,2021-03-01,22390947.75,THRM,84.9,2022-03-01,37266345.6
10362,THRM,89.75,2022-02-17,19371729.75,THRM,,,
10363,THS,38.29,2018-02-20,69366700.06,THS,60.06,2019-02-20,50092082.04
10364,THS,56.75,2019-02-14,152943406.5,THS,45.01,2020-02-14,50839380.129999995
10365,THS,46.0,2020-02-13,46224664.0,THS,48.36,2021-02-12,44001893.519999996
10366,THS,49.57,2021-02-11,71418076.64,THS,34.75,2022-02-11,21697066.0
10367,THS,38.16,2022-02-15,47075168.16,THS,,,
10368,TIF,98.18,2018-03-16,808666148.0600001,TIF,96.67,2019-03-18,150305996.12
10369,TIF,97.84,2019-03-22,624203936.96,TIF,124.0,2020-03-23,488538548.0
10370,TIF,128.0,2020-03-20,551642496.0,TIF,,,
10371,TIGR,15.56,2019-04-30,90615169.32000001,TIGR,2.93,2020-04-29,729640.3200000001
10372,TIGR,2.93,2020-04-29,729640.3200000001,TIGR,22.95,2021-04-29,130367475.0
10373,TIGR,21.25,2021-04-28,205100431.25,TIGR,,,
10374,TIS,9.59,2018-03-16,1065957.27,TIS,1.4,2019-03-18,157255.0
10375,TIS,,,,TIS,,,
10376,TITN,22.06,2018-04-06,4335782.7,TITN,16.68,2019-04-08,2786577.48
10377,TITN,16.77,2019-04-05,4124715.6599999997,TITN,8.39,2020-04-06,3183174.39
10378,TITN,9.57,2020-04-07,2069014.86,TITN,26.91,2021-04-07,2950089.48
10379,TITN,24.7,2021-03-31,5309388.5,TITN,,,
10380,TITN,,,,TITN,,,
10381,TIVC,,,,TIVC,,,
10382,TIVC,1.39,2022-02-14,138894.36,TIVC,,,
10383,TJX,40.86,2018-04-04,252773443.79999998,TJX,53.17,2019-04-04,274139947.38
10384,TJX,53.46,2019-04-03,233053791.3,TJX,44.49,2020-04-02,431811397.92
10385,TJX,46.16,2020-03-27,588193199.92,TJX,65.98,2021-03-29,350993542.08000004
10386,TJX,66.73,2021-03-31,384562320.8,TJX,,,
10387,TJX,,,,TJX,,,
10388,TKR,45.6,2018-02-15,35324724.0,TKR,43.0,2019-02-15,39870417.0
10389,TKR,43.0,2019-02-15,39870417.0,TKR,53.88,2020-02-18,27371794.32
10390,TKR,54.98,2020-02-14,32085723.22,TKR,74.46,2021-02-16,72727539.17999999
10391,TKR,74.46,2021-02-16,72727539.17999999,TKR,68.33,2022-02-16,25458733.05
10392,TKR,67.69,2022-02-15,47157727.68,TKR,,,
10393,TLCC,,,,TLCC,,,
10394,TLCC,,,,TLCC,0.23,2020-04-15,699.2
10395,TLCC,0.2,2020-06-01,8.0,TLCC,0.16,2021-06-01,0.0
10396,TLCC,0.16,2021-04-16,507.68,TLCC,,,
10397,TLCC,,,,TLCC,,,
10398,TLND,44.3,2018-02-28,30594997.599999998,TLND,48.44,2019-02-28,20172644.24
10399,TLND,37.57,2019-02-08,12495068.17,TLND,35.64,2020-02-10,14214479.4
10400,TLND,23.27,2020-03-17,8110037.13,TLND,64.0,2021-03-17,46956096.0
10401,TLND,51.96,2021-03-01,7721827.5600000005,TLND,,,
10402,TLRA,3.79,2018-03-02,849729.37,TLRA,5.4,2019-03-04,4730162.4
10403,TLRA,6.06,2019-03-19,14713892.1,TLRA,6.11,2020-03-18,9778211.82
10404,TLRA,6.25,2020-03-25,10379625.0,TLRA,,,
10405,TLRD,25.07,2018-04-02,30251969.0,TLRD,7.9,2019-04-01,22332043.900000002
10406,TLRD,8.01,2019-03-29,15701282.1,TLRD,1.56,2020-03-30,2624111.88
10407,TLRD,1.44,2020-04-08,7001644.319999999,TLRD,,,
10408,TLRY,,,,TLRY,82.52,2019-03-01,133505559.64
10409,TLRY,67.15,2019-03-25,83937567.15,TLRY,4.41,2020-03-24,36325192.050000004
10410,TLRY,14.74,2020-03-02,73721829.94,TLRY,26.16,2021-03-02,917445300.24
10411,TLRY,27.8,2021-02-19,779145846.2,TLRY,6.17,2022-02-22,87025678.16
10412,TLRY,7.16,2022-01-10,767163262.12,TLRY,,,
10413,TLSA,,,,TLSA,1.58,2019-04-04,124769.44
10414,TLSA,1.58,2019-04-04,124769.44,TLSA,0.8,2020-04-03,209516.0
10415,TLSA,2.44,2020-06-17,365243.6,TLSA,2.62,2021-06-17,4184229.08
10416,TLSA,2.4,2021-05-17,143853.6,TLSA,,,
10417,TLSA,,,,TLSA,,,
10418,TLYS,11.26,2018-04-02,1437868.22,TLYS,11.16,2019-04-01,3750016.68
10419,TLYS,11.43,2019-03-29,2872930.5,TLYS,4.37,2020-03-30,1629647.29
10420,TLYS,4.0,2020-04-01,1058796.0,TLYS,11.35,2021-04-01,2546474.65
10421,TLYS,11.35,2021-04-01,2546474.65,TLYS,,,
10422,TLYS,,,,TLYS,,,
10423,TM,105.16,2017-06-23,11184922.76,TM,129.85,2018-06-25,26706898.75
10424,TM,129.85,2018-06-25,26706898.75,TM,124.78,2019-06-25,13640700.040000001
10425,TM,124.93,2019-06-21,11096282.600000001,TM,127.93,2020-06-22,15938670.770000001
10426,TM,129.4,2020-06-24,56107063.6,TM,178.38,2021-06-24,29400948.36
10427,TM,178.38,2021-06-24,29400948.36,TM,,,
10428,TM-28,,,,TM-28,,,
10429,TM-28,,,,TM-28,,,
10430,TM-28,,,,TM-28,,,
10431,TM-28,,,,TM-28,,,
10432,TM-28,,,,TM-28,,,
10433,TMDX,,,,TMDX,12.49,2020-03-13,1591600.7
10434,TMDX,10.73,2020-03-17,2040459.72,TMDX,40.6,2021-03-17,29444541.0
10435,TMDX,35.09,2021-03-11,16122767.21,TMDX,18.03,2022-03-11,3920930.0100000002
10436,TMDX,18.48,2022-03-01,3751661.7600000002,TMDX,,,
10437,TMHC,24.01,2018-02-21,41580133.84,TMHC,17.81,2019-02-21,32890884.65
10438,TMHC,18.13,2019-02-20,18269564.74,TMHC,27.88,2020-02-20,76947155.08
10439,TMHC,27.94,2020-02-19,53132520.1,TMHC,28.11,2021-02-18,23963606.34
10440,TMHC,28.45,2021-02-24,28592847.45,TMHC,26.23,2022-02-24,37332660.63
10441,TMHC,28.17,2022-02-23,40033260.27,TMHC,,,
10442,TMO,211.41,2018-02-28,200260236.6,TMO,257.85,2019-02-28,531525028.0500001
10443,TMO,253.06,2019-02-27,445157846.0,TMO,304.0,2020-02-27,678507936.0
10444,TMO,308.74,2020-02-26,600427672.32,TMO,457.75,2021-02-25,977502237.5
10445,TMO,457.75,2021-02-25,977502237.5,TMO,536.85,2022-02-25,621083375.5500001
10446,TMO,518.8,2022-02-24,1128120224.0,TMO,,,
10447,TMUS,61.0,2018-02-08,462183885.0,TMUS,67.64,2019-02-08,279316133.28000003
10448,TMUS,68.0,2019-02-07,513712868.0,TMUS,83.37,2020-02-07,561961154.1600001
10449,TMUS,82.13,2020-02-06,244436702.20999998,TMUS,129.02,2021-02-05,1331364992.18
10450,TMUS,117.88,2021-02-23,753279958.76,TMUS,123.07,2022-02-23,538778430.47
10451,TMUS,124.69,2022-02-11,612875913.93,TMUS,,,
10452,TMX,52.39,2018-02-28,49033425.09,TMX,45.33,2019-02-28,85383180.03
10453,TMX,45.39,2019-03-01,71049239.34,TMX,35.95,2020-03-02,86529636.80000001
10454,TMX,36.48,2020-02-28,134886368.64,TMX,45.55,2021-03-01,26786588.5
10455,TMX,46.41,2021-02-26,71064523.53,TMX,42.45,2022-02-28,35455004.1
10456,TMX,43.53,2022-03-01,29419141.080000002,TMX,,,
10457,TNDM,3.17,2018-03-01,3889000.38,TNDM,66.69,2019-03-01,289284747.57
10458,TNDM,48.05,2019-02-26,157660074.35,TNDM,77.72,2020-02-26,117063651.56
10459,TNDM,84.5,2020-02-24,189788014.0,TNDM,91.98,2021-02-23,123131786.4
10460,TNDM,92.82,2021-02-24,113224342.13999999,TNDM,100.34,2022-02-24,137319303.6
10461,TNDM,103.13,2022-02-22,101744448.44999999,TNDM,,,
